"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,09:24 AM,10:24 AM,1h00m,1230,739
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,09:30 AM,10:35 AM,1h05m,1072,73G
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,10:39 AM,11:48 AM,1h09m,637,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,10:55 AM,11:57 AM,1h02m,327,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,11:00 AM,12:02 PM,1h02m,1500,738
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,11:09 AM,12:17 PM,1h08m,1206,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,11:09 AM,12:17 PM,1h08m,1497,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,11:09 AM,12:17 PM,1h08m,1683,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,12:59 PM,02:00 PM,1h01m,736,319
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:00 PM,06:00 PM,1h00m,1500,73G
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,05:27 PM,06:30 PM,1h03m,1571,73G
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,07:23 PM,08:24 PM,1h01m,1685,320
"AUSTIN, TX",AUS,"HOUSTON, TX",IAH,07:32 PM,08:35 PM,1h03m,735,319
"AUSTIN, TX",AUS,"LOS ANGELES, CA",LAX,07:20 AM,08:50 AM,3h30m,797,739
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,06:10 AM,11:00 AM,3h50m,1697,320
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,06:14 AM,10:59 AM,3h45m,388,319
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,06:15 AM,10:54 AM,3h39m,1189,739
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,06:20 AM,10:58 AM,3h38m,1643,738
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,09:00 AM,01:37 PM,3h37m,388,320
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,09:45 AM,02:32 PM,3h47m,1082,319
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,10:20 AM,03:09 PM,3h49m,1940,739
"AUSTIN, TX",AUS,"NEW YORK/NEWARK, NJ",EWR,10:21 AM,03:08 PM,3h47m,1573,738
